GEOID,population
28055,1263
28057,24152
28059,147666
28061,15785
28063,6825
28065,10941
28067,66496
28069,8600
28071,59597
28073,67403
28075,70317
28077,11819
28079,21662
28081,83731
28083,25686
28085,35012
28087,57346
28089,116298
28091,24001
28093,34654
28095,33318
28097,9354
28099,28732
28101,20960
28103,9798
28105,51896
28107,32691
28109,59363
28111,11577
28113,38712
28115,32096
28117,25284
28119,5364
28121,162181
28123,28073
28125,3097
28127,25498
28129,13991
28131,19654
28133,22893
28135,10877
28137,28725
28139,21389
28141,18639
28143,8819
28145,28459
28147,13928
28149,41759
28151,40446
28153,19807
28155,10167
28157,7582
28159,17473
28161,12375
28163,22947
29001,25684
29003,18241
29005,5175
29007,24528
29009,36200
29011,11795
29013,16512
29015,20536
29017,10646
29019,191746
29021,83540
29023,41904
29025,9012
29027,45765
29029,44047
29031,83999
29033,8417
29035,5418
29037,115859
29039,14888
29041,7377
29043,96725
29045,6475
29047,265032
29049,21661
29051,77908
29053,17136
29055,22929
29057,7804
29059,18025
29061,8558
29063,9795
29065,14584
29067,12342
29069,26855
29071,108090
29073,14784
29075,6384
29077,309286
29079,9744
29081,8281
29083,22671
29085,9044
29087,4200
29089,10180
29091,40798
29093,9318
29095,732994
29097,127428
29099,233132
29101,56670
29103,3728
29105,36943
29107,33531
29109,39401
29111,9879
29113,66676
29115,11815
29117,14708
29119,23992
29121,15190
29123,12858
29125,8397
29127,28525
29129,3404
29131,25817
29133,12003
29135,15428
29137,8959
29139,11590
29141,22418
29143,15086
29145,62263
29147,20174
29149,8709
29151,13611
29153,9172
29155,14465
29157,19093
29159,44254
29161,45247
29163,17955
29165,114400
29167,33604
29169,54442
29171,4546
29173,10444
29175,24513
29177,23398
29179,5992
29181,10717
29183,426499
29185,9976
29186,18689
29187,67809
29189,990911
29195,23265
29197,4140
29199,4796
29201,37975
29203,7285
29205,5870
29207,28284
29209,32503
29211,5738
29213,57001
29215,25994
29217,19946
29219,39016
29221,23810
29223,10782
29225,43054
29227,1914
29229,19671
29510,278144
30001,10043
30003,12752
30005,6860
30007,8493
30009,11466
30011,1383
30013,85029
30015,5865
30017,12034
30019,1612
30021,8692
30023,9709
30025,2959
30027,11825
30029,115429
30031,128740
30033,1148
30035,13463
30037,844
30039,3658
30041,16167
30043,13329
30045,2162
30047,33392
30049,75331
30051,1957
30053,22328
30055,1720
30057,10026
30059,2137
30061,5185
30063,123513
30065,5582
30067,18214
30069,548
30071,4203
30073,6072
30075,1781
30077,7157
30079,1112
30081,48582
30083,11377
30085,10242
30087,8253
30089,14062
30091,3436
30093,36118
30095,9445
30097,3762
30099,6496
30101,5211
30103,728
30105,7385
30107,2100
30109,885
30111,172692
31001,31071
31003,6352
31005,396
31007,686
31009,458
31011,5355
31013,10494
31015,1674
31017,2826
31019,51172
31021,6678
31023,8507
31025,27657
31027,8373
31029,3718
31031,5561
31033,9528
31035,6170
31037,10934
31039,8823
31041,10500
31043,21687
31045,7858
31047,24452
31049,1862
31051,5602
31053,38057
31055,606460
31057,1568
31059,5458
31061,2795
31063,2655
31065,4524
31067,21711
31069,1804
31071,1710
31073,1803
31075,561
31077,2154
31079,63633
31081,9678
31083,3000
31085,821
31087,2467
31089,10067
31091,686
31093,6538
31095,7070
31097,5218
31099,6790
31101,8100
31103,792
31105,3391
31107,8335
31109,334049
31111,33303
31113,669
31115,570
31117,369
31119,36106
31121,7905
31123,4404
31125,3290
31127,7102
31129,4100
31131,16531
31133,2510
31135,2849
31137,8994
31139,7378
31141,35649
31143,5270
31145,10307
31147,7530
31149,1259
31151,14996
31153,208303
31155,23702
31157,35586
31159,18032
31161,4809
31163,2924
31165,1188
31167,5744
31169,4842
31171,639
31173,6752
31175,4094
31177,21302
31179,10020
31181,3336
31183,789
31185,14564
32001,25851
32003,2407226
32005,50111
32007,54815
32009,729
32011,1867
32013,17267
32015,5872
32017,4320
32019,65088
32021,4407
32023,57336
32027,6421
32029,4260
32031,509386
32033,8661
32510,58571
33001,65147
33003,52784
33005,78269
33007,31343
33009,93225
33011,433415
33013,158078
33015,324077
33017,135043
33019,43961
34001,278657
34003,977026
34005,481439
34007,535799
34009,93390
34011,157148
34013,896379
34015,312638
34017,735033
34019,131781
34021,399289
34023,883335
34025,651035
34027,524251
34029,673746
34031,531624
34033,66280
34035,356486
34037,148063
34039,601863
34041,112953
35001,667601
35003,3827
35005,63364
35006,26807
35007,12184
35009,46655
35011,1647
35013,229091
35015,62509
35017,27252
35019,4343
35021,617
35023,3929
35025,74749
35027,19844
35028,19407
35029,25407
35031,68119
35033,4051
35035,70368
35037,8454
35039,39832
35041,18615
35043,159565
35045,120340
35047,26260
35049,156907
35051,11395
35053,15838
35055,34564
35057,16100
35059,3844
35061,82013
36001,321225
36003,46800
36005,1406332
36007,195736
36009,75390
36011,74365
36013,124126
36015,80415
36017,45715
36019,78138
36021,60168
36023,45850
36025,44305
36027,300708
36029,946741
36031,36438
36033,46500
36035,52216
36037,58416
36039,47238
36041,5006
36043,59219
36045,111540
36047,2653963
36049,26479
36051,61438
36053,67120
36055,750506
36057,50046
36059,1398939
36061,1664862
36063,208912
36065,226392
36067,466584
36069,113130
36071,417669
36073,39825
36075,118569
36077,60589
36079,99028
36081,2358182
36083,160510
36085,501290
36087,357397
36089,105488
36091,241343
36093,162581
36095,30176
36097,16924
36099,32883
36101,91855
36103,1546090
36105,80586
36107,47453
36109,104047
36111,183330
36113,65020
36115,59353
36117,91250
36119,1015743
36121,39741
36123,24547
37001,186177
37003,36958
37005,11479
37007,21758
37009,27514
37011,18110
37013,44670
37015,17086
37017,30007
37019,174702
37021,277417
37023,88655
37025,249725
37027,81105
37029,11315
37031,70469
37033,22563
37035,170172
37037,85111
37039,30830
37041,14082
37043,12239
37045,103325
37047,50487
37049,105025
37051,338473
37053,33158
37055,38245
37057,180182
37059,45855
37061,51571
37063,347240
37065,49121
37067,401718
37069,82037
37071,246558
37073,10234
37075,8190
37077,61421
37079,20700
37081,562234
37083,46534
37085,150137
37087,63369
37089,122375
37091,19015
37093,56939
37095,4554
37097,211798
37099,45039
37101,256448
37103,9575
37105,70258
37107,55837
37109,98654
